Tx 0.0219286 1 1 1 38 
Rx 0.115 1 1 3 1431 3998710
Rx 0.115 1 1 3 1431 3976310
Rx 0.115 1 1 3 1431 3953910
Rx 0.115 1 1 3 1431 3931510
Rx 0.115 1 1 3 1431 3909110
Rx 0.115 1 1 3 1431 3886710
Rx 0.116 1 1 3 1431 4864310
Rx 0.116 1 1 3 1431 4841910
Rx 0.116 1 1 3 1431 4819510
Rx 0.116 1 1 3 1431 4797110
Rx 0.116 1 1 3 1431 4774710
Rx 0.116 1 1 3 1431 4752310
Rx 0.116 1 1 3 1431 4729910
Rx 0.117 1 1 3 1431 5707510
Rx 0.117 1 1 3 1431 5685110
Rx 0.117 1 1 3 1431 5662710
Rx 0.117 1 1 3 1431 5640310
Rx 0.117 1 1 3 1431 5617910
Rx 0.117 1 1 3 1431 5595510
Rx 0.118 1 1 3 1431 6573110
Rx 0.118 1 1 3 1431 6550710
Rx 0.118 1 1 3 1431 6528310
Rx 0.118 1 1 3 1431 6505910
Rx 0.118 1 1 3 1431 6483510
Rx 0.118 1 1 3 1431 6461110
Rx 0.118 1 1 3 1431 6438710
Rx 0.119 1 1 3 1431 7416310
Rx 0.119 1 1 3 1431 7393910
Rx 0.119 1 1 3 1431 7371510
Rx 0.119 1 1 3 1431 7349110
Rx 0.119 1 1 3 1431 7326710
Rx 0.119 1 1 3 1431 7304310
Rx 0.12 1 1 3 1431 8281910
Rx 0.12 1 1 3 1431 8259510
Rx 0.12 1 1 3 1431 8237110
Rx 0.12 1 1 3 1431 8214710
Rx 0.12 1 1 3 1431 8192310
Rx 0.12 1 1 3 1431 8169910
Rx 0.12 1 1 3 1431 8147510
Rx 0.121 1 1 3 1431 9125110
Rx 0.121 1 1 3 1431 9102710
Rx 0.121 1 1 3 1431 9080310
Rx 0.121 1 1 3 1431 9057910
Rx 0.121 1 1 3 1431 9035510
Rx 0.121 1 1 3 1431 9013110
Rx 0.121 1 1 3 1431 8990710
Rx 0.122 1 1 3 1431 9968310
Rx 0.122 1 1 3 1431 9945910
Rx 0.122 1 1 3 1431 9923510
Rx 0.122 1 1 3 1431 9901110
Rx 0.122 1 1 3 1431 9878710
Rx 0.122 1 1 3 1431 9856310
Rx 0.123 1 1 3 1431 10833910
Rx 0.123 1 1 3 1431 10811510
Rx 0.123 1 1 3 1431 10789110
Rx 0.123 1 1 3 1431 10766710
Rx 0.123 1 1 3 1431 10744310
Rx 0.123 1 1 3 1431 10721910
Rx 0.123 1 1 3 1431 10699510
Rx 0.124 1 1 3 1431 11677110
Rx 0.124 1 1 3 1431 11654710
Rx 0.124 1 1 3 1431 11632310
Rx 0.124 1 1 3 1431 11609910
Rx 0.124 1 1 3 1431 11587510
Rx 0.124 1 1 3 1431 11565110
Rx 0.125 1 1 3 1431 12542710
Rx 0.125 1 1 3 1431 12520310
Rx 0.125 1 1 3 1431 12497910
Rx 0.125 1 1 3 1431 12475510
Rx 0.125 1 1 3 1431 12453110
Rx 0.125 1 1 3 1431 12430710
Rx 0.125 1 1 3 1431 12408310
Rx 0.126 1 1 3 1431 13385910
Rx 0.126 1 1 3 1431 13363510
Rx 0.126 1 1 3 1431 13341110
Rx 0.126 1 1 3 1431 13318710
Rx 0.126 1 1 3 1431 13296310
Rx 0.126 1 1 3 1431 13273910
Rx 0.127 1 1 3 1431 14251510
Rx 0.127 1 1 3 1431 14229110
Rx 0.127 1 1 3 1431 14206710
Rx 0.127 1 1 3 1431 14184310
Rx 0.127 1 1 3 1431 14161910
Rx 0.127 1 1 3 1431 14139510
Rx 0.127 1 1 3 1431 14117110
Rx 0.128 1 1 3 1431 15094710
Rx 0.128 1 1 3 1431 15072310
Rx 0.128 1 1 3 1431 15049910
Rx 0.128 1 1 3 1431 15027510
Rx 0.128 1 1 3 1431 15005110
Rx 0.128 1 1 3 1431 14982710
Rx 0.128 1 1 3 1431 14960310
Rx 0.129 1 1 3 1431 15937910
Rx 0.129 1 1 3 1431 15915510
Rx 0.129 1 1 3 1431 15893110
Rx 0.129 1 1 3 1431 15870710
Rx 0.129 1 1 3 1431 15848310
Rx 0.129 1 1 3 1431 15825910
Rx 0.13 1 1 3 1431 16803510
Rx 0.13 1 1 3 1431 16781110
Rx 0.13 1 1 3 1431 16758710
Rx 0.13 1 1 3 1431 16736310
Rx 0.13 1 1 3 1431 16713910
Rx 0.13 1 1 3 1431 16691510
Rx 0.13 1 1 3 1431 16669110
Rx 0.131 1 1 3 1431 17646710
Rx 0.131 1 1 3 1431 17624310
Rx 0.131 1 1 3 1431 17601910
Rx 0.131 1 1 3 1431 17579510
Rx 0.131 1 1 3 1431 17557110
Rx 0.131 1 1 3 1431 17534710
Rx 0.132 1 1 3 1431 18512310
Rx 0.132 1 1 3 1431 18489910
Rx 0.132 1 1 3 1431 18467510
Rx 0.132 1 1 3 1431 18445110
Rx 0.132 1 1 3 1431 18422710
Rx 0.132 1 1 3 1431 18400310
Rx 0.132 1 1 3 1431 18377910
Rx 0.133 1 1 3 1431 19355510
Rx 0.133 1 1 3 1431 19333110
Rx 0.133 1 1 3 1431 19310710
Rx 0.133 1 1 3 1431 19288310
Rx 0.133 1 1 3 1431 19265910
Rx 0.133 1 1 3 1431 19243510
Rx 0.134 1 1 3 1431 20221110
