#Time Node Cpu Memory Disk
1.2 1 209 903 3186
1.2 2 185 491 1904
2.2 1 222 899 3179
2.2 2 183 493 1891
3.2 1 202 888 3166
3.2 2 199 483 1882
4.2 1 214 915 3165
4.2 2 207 469 1891
5.2 1 210 907 3169
5.2 2 210 457 1882
6.2 1 195 903 3163
6.2 2 215 456 1880
7.2 1 213 879 3167
7.2 2 202 457 1890
8.2 1 223 882 3175
8.2 2 207 474 1886
9.2 1 253 882 3161
9.2 2 197 483 1892
10.2 1 253 901 3164
10.2 2 191 476 1885
11.2 1 243 904 3170
11.2 2 202 482 1879
12.2 1 256 917 3172
12.2 2 218 495 1883
13.2 1 252 923 3178
13.2 2 209 523 1892
14.2 1 236 929 3185
14.2 2 203 537 1895
